 time A B P exp
0 0.0 0.998 0.6 0.001 1
1 0.89 0.85 0.449 0.15 1
2 2.03 0.726 0.326 0.273 1
3 3.89 0.609 0.209 0.388 1
4 6.61 0.522 0.123 0.477 1
5 10.0 0.468 0.067 0.534 1
6 14.03 0.435 0.036 0.564 1
7 18.36 0.417 0.018 0.582 1
8 22.97 0.409 0.009 0.592 1
9 27.78 0.403 0.004 0.595 1
10 0.0 0.602 0.601 0.0 2
11 0.67 0.525 0.524 0.075 2
12 2.67 0.382 0.382 0.218 2
13 5.67 0.272 0.272 0.329 2
14 12.11 0.164 0.166 0.433 2
15 19.11 0.118 0.116 0.483 2
16 25.22 0.093 0.093 0.508 2
17 46.89 0.055 0.056 0.546 2
18 89.22 0.028 0.029 0.573 2
19 111.11 0.021 0.025 0.578 2
20 0.0 0.999 0.801 0.0 3
21 0.33 0.915 0.715 0.086 3
22 1.0 0.786 0.585 0.213 3
23 1.92 0.663 0.464 0.337 3
24 3.08 0.56 0.359 0.441 3
25 4.38 0.482 0.284 0.515 3
26 6.29 0.41 0.211 0.591 3
27 11.54 0.31 0.108 0.691 3
28 22.92 0.237 0.038 0.763 3
29 41.67 0.208 0.009 0.792 3
30 0.0 1.001 0.601 0.002 4
31 0.13 0.925 0.523 0.077 4
32 0.47 0.787 0.387 0.214 4
33 0.93 0.671 0.271 0.328 4
34 1.68 0.563 0.164 0.436 4
35 2.85 0.485 0.087 0.512 4
36 3.94 0.45 0.05 0.55 4
37 5.5 0.424 0.023 0.576 4
38 7.0 0.406 0.011 0.589 4
39 8.33 0.412 0.007 0.595 4
